"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"02361","青森県","南津軽郡","みなみつがるぐん","藤崎町","ふじさきまち","2005-03-28","藤崎町(02361)、常盤村(02366)が合併し、藤崎町を新設"
"02363","青森県","南津軽郡","みなみつがるぐん","尾上町","おのえまち","2006-01-01","尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設"
"02364","青森県","南津軽郡","みなみつがるぐん","浪岡町","なみおかまち","2005-04-01","青森市(02201)、浪岡町(02364)が合併し、青森市を新設"
"02365","青森県","南津軽郡","みなみつがるぐん","平賀町","ひらかまち","2006-01-01","尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設"
"02366","青森県","南津軽郡","みなみつがるぐん","常盤村","ときわむら","2005-03-28","藤崎町(02361)、常盤村(02366)が合併し、藤崎町を新設"
"02368","青森県","南津軽郡","みなみつがるぐん","碇ケ関村","いかりがせきむら","2006-01-01","尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設"
"02382","青森県","北津軽郡","きたつがるぐん","金木町","かなぎまち","2005-03-28","五所川原市(02205)、金木町(02382)、市浦村(02385)が合併し、五所川原市を新設"
"02383","青森県","北津軽郡","きたつがるぐん","中里町","なかさとまち","2005-03-28","中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設"
"02385","青森県","北津軽郡","きたつがるぐん","市浦村","しうらむら","2005-03-28","五所川原市(02205)、金木町(02382)、市浦村(02385)が合併し、五所川原市を新設"
"02386","青森県","北津軽郡","きたつがるぐん","小泊村","こどまりむら","2005-03-28","中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設"
"02387","青森県","北津軽郡","きたつがるぐん","中泊町","なかどまりまち","2005-03-28","中里町(02383)、小泊村(02386)が合併し、中泊町(02387)を新設"
"02402","青森県","上北郡","かみきたぐん","七戸町","しちのへまち","2005-03-31","七戸町(02402)、天間林村(02409)が合併し、七戸町を新設"
"02403","青森県","上北郡","かみきたぐん","百石町","ももいしまち","2006-03-01","百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設"
"02404","青森県","上北郡","かみきたぐん","十和田湖町","とわだこまち","2005-01-01","十和田市(02206)、十和田湖町(02404)が合併し、十和田市を新設"
"02407","青森県","上北郡","かみきたぐん","上北町","かみきたまち","2005-03-31","上北町(02407)、東北町(02408)が合併し、東北町を新設"
"02408","青森県","上北郡","かみきたぐん","東北町","とうほくまち","2005-03-31","上北町(02407)、東北町(02408)が合併し、東北町を新設"
"02409","青森県","上北郡","かみきたぐん","天間林村","てんまばやしむら","2005-03-31","七戸町(02402)、天間林村(02409)が合併し、七戸町を新設"
"02410","青森県","上北郡","かみきたぐん","下田町","しもだまち","2006-03-01","百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設"
"02412","青森県","上北郡","かみきたぐん","おいらせ町","おいらせちょう","2006-03-01","百石町(02403)、下田町(02410)が合併し、おいらせ町(02412)を新設"
"02421","青森県","下北郡","しもきたぐん","川内町","かわうちまち","2005-03-14","川内町(02421)、大畑町(02422)、脇野沢村(02427)がむつ市(02208)に編入"
"02422","青森県","下北郡","しもきたぐん","大畑町","おおはたまち","2005-03-14","川内町(02421)、大畑町(02422)、脇野沢村(02427)がむつ市(02208)に編入"
"02427","青森県","下北郡","しもきたぐん","脇野沢村","わきのさわむら","2005-03-14","川内町(02421)、大畑町(02422)、脇野沢村(02427)がむつ市(02208)に編入"
"02442","青森県","三戸郡","さんのへぐん","五戸町","ごのへまち","2004-07-01","倉石村(02449)が五戸町(02442)に編入"
"02444","青森県","三戸郡","さんのへぐん","名川町","ながわまち","2006-01-01","名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設"
"02445","青森県","三戸郡","さんのへぐん","南部町","なんぶちょう","2006-01-01","名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設"
"02447","青森県","三戸郡","さんのへぐん","福地村","ふくちむら","2006-01-01","名川町(02444)、南部町(02445)、福地村(02447)が合併し、南部町を新設"
"02448","青森県","三戸郡","さんのへぐん","南郷村","なんごうむら","2005-03-31","南郷村(02448)が八戸市(02203)に編入"
"02449","青森県","三戸郡","さんのへぐん","倉石村","くらいしむら","2004-07-01","倉石村(02449)が五戸町(02442)に編入"
"03201","岩手県","","","盛岡市","もりおかし","2000-11-01","盛岡市(03201)が特例市に移行"
"03201","岩手県","","","盛岡市","もりおかし","2006-01-10","玉山村(03307)が盛岡市(03201)に編入"
"03201","岩手県","","","盛岡市","もりおかし","2008-04-01","盛岡市(03201)が特例市から中核市に移行"
"03202","岩手県","","","宮古市","みやこし","2005-06-06","宮古市(03202)、田老町(03481)、新里村(03486)が合併し、宮古市を新設"
"03202","岩手県","","","宮古市","みやこし","2010-01-01","川井村(03487)が宮古市(03202)に編入"
"03203","岩手県","","","大船渡市","おおふなとし","2001-11-15","三陸町(03442)が大船渡市(03203)に編入"
"03204","岩手県","","","水沢市","みずさわし","2006-02-20","水沢市(03204)、江刺市(03212)、前沢町(03382)、胆沢町(03383)、衣川村(03384)が合併し、奥州市(03215)を新設"
"03205","岩手県","","","花巻市","はなまきし","2006-01-01","花巻市(03205)、大迫町(03341)、石鳥谷町(03342)、東和町(03361)が合併し、花巻市を新設
稗貫郡(03340)の廃止"
"03207","岩手県","","","久慈市","くじし","2006-03-06","久慈市(03207)、山形村(03504)が合併し、久慈市を新設"
"03208","岩手県","","","遠野市","とおのし","2005-10-01","遠野市(03208)、宮守村(03462)が合併し、遠野市を新設"
"03209","岩手県","","","一関市","いちのせきし","2005-09-20","一関市(03209)、花泉町(03401)、大東町(03421)、千厩町(03423)、東山町(03424)、室根村(03425)、川崎村(03426)が合併し、一関市を新設"
"03209","岩手県","","","一関市","いちのせきし","2011-09-26","東磐井郡(03420)の廃止
藤沢町(03422)が一関市(03209)に編入"
